Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Kênh C6;Triều Xuống;HCM_NM_KC6;HCM_NM_KC6_X;Đối diện góc giao lộ giữa đường Số 1 và đường Số 10;Kênh C6 - HCM_NM_KC6 - Triều Xuống;Kênh C6 - Triều Xuống;Kênh C6 - Triều Xuống (QC - Mẫu lặp hiện trường);Kênh C6 - Triều Xuống (QC - Mẫu trắng hiện trường);Kênh C6 - Triều Xuống (QC - Mẫu trắng vận chuyển);Kênh C6 - Triều Xuống (QC - Mẫu trắng thiết bị)
Kênh C8;Triều Xuống;HCM_NM_KC8;HCM_NM_KC8_X;Tại cầu đối diện với công ty Alfa;Kênh C8 - HCM_NM_KC8 - Triều Xuống;Kênh C8 - Triều Xuống;Kênh C8 - Triều Xuống (QC - Mẫu lặp hiện trường);Kênh C8 - Triều Xuống (QC - Mẫu trắng hiện trường);Kênh C8 - Triều Xuống (QC - Mẫu trắng vận chuyển);Kênh C8 - Triều Xuống (QC - Mẫu trắng thiết bị)
ĐPNM1;2;HCM_NM_ĐPNM1;HCM_NM_ĐPNM1_02;Rạch Ngã Cạy, trước cổng khu xử lý của công ty VWS;ĐPNM1 - HCM_NM_ĐPNM1 - 02;ĐPNM1 - 02;ĐPNM1 - 02 (QC - Mẫu lặp hiện trường);ĐPNM1 - 02 (QC - Mẫu trắng hiện trường);ĐPNM1 - 02 (QC - Mẫu trắng vận chuyển);ĐPNM1 - 02 (QC - Mẫu trắng thiết bị)
ĐPNM4;2;HCM_NM_ĐPNM4;HCM_NM_ĐPNM4_02;Rạch Chiếu – cách khu vực hút bùn của Công ty TNHH Công nghệ sinh học Sài Gòn xanh 500 m về hướng Tây;ĐPNM4 - HCM_NM_ĐPNM4 - 02;ĐPNM4 - 02;ĐPNM4 - 02 (QC - Mẫu lặp hiện trường);ĐPNM4 - 02 (QC - Mẫu trắng hiện trường);ĐPNM4 - 02 (QC - Mẫu trắng vận chuyển);ĐPNM4 - 02 (QC - Mẫu trắng thiết bị)
ĐPNM5;2;HCM_NM_ĐPNM5;HCM_NM_ĐPNM5_02;Rạch Chiếu – khu vực hút bùn của Công ty TNHH Công nghệ sinh học Sài Gòn xanh;ĐPNM5 - HCM_NM_ĐPNM5 - 02;ĐPNM5 - 02;ĐPNM5 - 02 (QC - Mẫu lặp hiện trường);ĐPNM5 - 02 (QC - Mẫu trắng hiện trường);ĐPNM5 - 02 (QC - Mẫu trắng vận chuyển);ĐPNM5 - 02 (QC - Mẫu trắng thiết bị)
ĐPNM8;2;HCM_NM_ĐPNM8;HCM_NM_ĐPNM8_02;Sông Cần Giuộc – cách ngã 3 Rạch Chiếu và sông Cần Giuộc 200 m về phía thượng nguồn;ĐPNM8 - HCM_NM_ĐPNM8 - 02;ĐPNM8 - 02;ĐPNM8 - 02 (QC - Mẫu lặp hiện trường);ĐPNM8 - 02 (QC - Mẫu trắng hiện trường);ĐPNM8 - 02 (QC - Mẫu trắng vận chuyển);ĐPNM8 - 02 (QC - Mẫu trắng thiết bị)
Phú Xuân;Triều Lên;HCM_NM_PX;HCM_NM_PX_L;Khu vực cầu Phú Xuân, đường Huỳnh Tấn Phát, Xã Hiệp Phước;Phú Xuân - HCM_NM_PX - Triều Lên;Phú Xuân - Triều Lên;Phú Xuân - Triều Lên (QC - Mẫu lặp hiện trường);Phú Xuân - Triều Lên (QC - Mẫu trắng hiện trường);Phú Xuân - Triều Lên (QC - Mẫu trắng vận chuyển);Phú Xuân - Triều Lên (QC - Mẫu trắng thiết bị)
Phú Xuân;Triều Xuống;HCM_NM_PX;HCM_NM_PX_X;Khu vực cầu Phú Xuân, đường Huỳnh Tấn Phát, Xã Hiệp Phước;Phú Xuân - HCM_NM_PX - Triều Xuống;Phú Xuân - Triều Xuống;Phú Xuân - Triều Xuống (QC - Mẫu lặp hiện trường);Phú Xuân - Triều Xuống (QC - Mẫu trắng hiện trường);Phú Xuân - Triều Xuống (QC - Mẫu trắng vận chuyển);Phú Xuân - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Gò Công;Triều Lên;HCM_NM_CGC;HCM_NM_CGC_L;Tại khu vực cầu Gò Công trên đường Nguyễn Xiển;Cầu Gò Công - HCM_NM_CGC - Triều Lên;Cầu Gò Công - Triều Lên;Cầu Gò Công - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Gò Công - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Gò Công - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Gò Công - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Gò Công;Triều Xuống;HCM_NM_CGC;HCM_NM_CGC_X;Tại khu vực cầu Gò Công trên đường Nguyễn Xiển;Cầu Gò Công - HCM_NM_CGC - Triều Xuống;Cầu Gò Công - Triều Xuống;Cầu Gò Công - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Gò Công - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Gò Công - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Gò Công - Triều Xuống (QC - Mẫu trắng thiết bị)
Bình Lợi;Triều Lên;HCM_NM_BL;HCM_NM_BL_L;Khu vực Thanh Đa, Phường Bình Quới.;Bình Lợi - HCM_NM_BL - Triều Lên;Bình Lợi - Triều Lên;Bình Lợi - Triều Lên (QC - Mẫu lặp hiện trường);Bình Lợi - Triều Lên (QC - Mẫu trắng hiện trường);Bình Lợi - Triều Lên (QC - Mẫu trắng vận chuyển);Bình Lợi - Triều Lên (QC - Mẫu trắng thiết bị)
Sài Gòn;Triều Lên;HCM_NM_SG;HCM_NM_SG_L;Cầu Sài Gòn KTĐ mới Thủ Thiêm Sông Sài Gòn.;Sài Gòn - HCM_NM_SG - Triều Lên;Sài Gòn - Triều Lên;Sài Gòn - Triều Lên (QC - Mẫu lặp hiện trường);Sài Gòn - Triều Lên (QC - Mẫu trắng hiện trường);Sài Gòn - Triều Lên (QC - Mẫu trắng vận chuyển);Sài Gòn - Triều Lên (QC - Mẫu trắng thiết bị)
Phú Mỹ;Triều Lên;HCM_NM_PM;HCM_NM_PM_L;Gần cầu Thời Đại, Phường Bình Trưng.;Phú Mỹ - HCM_NM_PM - Triều Lên;Phú Mỹ - Triều Lên;Phú Mỹ - Triều Lên (QC - Mẫu lặp hiện trường);Phú Mỹ - Triều Lên (QC - Mẫu trắng hiện trường);Phú Mỹ - Triều Lên (QC - Mẫu trắng vận chuyển);Phú Mỹ - Triều Lên (QC - Mẫu trắng thiết bị)
Mũi Đèn Đỏ;Triều Lên;HCM_NM_MĐĐ;HCM_NM_MĐĐ_L;Mũi Đèn Đỏ, Phường Phú Thuận (Cách hợp lưu của Sông Đồng Nai với sông Sài Gòn 2 km).;Mũi Đèn Đỏ - HCM_NM_MĐĐ - Triều Lên;Mũi Đèn Đỏ - Triều Lên;Mũi Đèn Đỏ - Triều Lên (QC - Mẫu lặp hiện trường);Mũi Đèn Đỏ - Triều Lên (QC - Mẫu trắng hiện trường);Mũi Đèn Đỏ - Triều Lên (QC - Mẫu trắng vận chuyển);Mũi Đèn Đỏ - Triều Lên (QC - Mẫu trắng thiết bị)
Nhà Bè;Triều Lên;HCM_NM_NB;HCM_NM_NB_L;Phà Bình Khánh, xã Nhà Bè (Thượng lưu ngã ba Đồng Nai Lòng Tàu 600 m).;Nhà Bè - HCM_NM_NB - Triều Lên;Nhà Bè - Triều Lên;Nhà Bè - Triều Lên (QC - Mẫu lặp hiện trường);Nhà Bè - Triều Lên (QC - Mẫu trắng hiện trường);Nhà Bè - Triều Lên (QC - Mẫu trắng vận chuyển);Nhà Bè - Triều Lên (QC - Mẫu trắng thiết bị)
Bình Lợi;Triều Xuống;HCM_NM_BL;HCM_NM_BL_X;Khu vực Thanh Đa, Phường Bình Quới.;Bình Lợi - HCM_NM_BL - Triều Xuống;Bình Lợi - Triều Xuống;Bình Lợi - Triều Xuống (QC - Mẫu lặp hiện trường);Bình Lợi - Triều Xuống (QC - Mẫu trắng hiện trường);Bình Lợi - Triều Xuống (QC - Mẫu trắng vận chuyển);Bình Lợi - Triều Xuống (QC - Mẫu trắng thiết bị)
Sài Gòn;Triều Xuống;HCM_NM_SG;HCM_NM_SG_X;Cầu Sài Gòn KTĐ mới Thủ Thiêm Sông Sài Gòn.;Sài Gòn - HCM_NM_SG - Triều Xuống;Sài Gòn - Triều Xuống;Sài Gòn - Triều Xuống (QC - Mẫu lặp hiện trường);Sài Gòn - Triều Xuống (QC - Mẫu trắng hiện trường);Sài Gòn - Triều Xuống (QC - Mẫu trắng vận chuyển);Sài Gòn - Triều Xuống (QC - Mẫu trắng thiết bị)
Phú Mỹ;Triều Xuống;HCM_NM_PM;HCM_NM_PM_X;Gần cầu Thời Đại, Phường Bình Trưng.;Phú Mỹ - HCM_NM_PM - Triều Xuống;Phú Mỹ - Triều Xuống;Phú Mỹ - Triều Xuống (QC - Mẫu lặp hiện trường);Phú Mỹ - Triều Xuống (QC - Mẫu trắng hiện trường);Phú Mỹ - Triều Xuống (QC - Mẫu trắng vận chuyển);Phú Mỹ - Triều Xuống (QC - Mẫu trắng thiết bị)
Mũi Đèn Đỏ;Triều Xuống;HCM_NM_MĐĐ;HCM_NM_MĐĐ_X;Mũi Đèn Đỏ, Phường Phú Thuận (Cách hợp lưu của Sông Đồng Nai với sông Sài Gòn 2 km).;Mũi Đèn Đỏ - HCM_NM_MĐĐ - Triều Xuống;Mũi Đèn Đỏ - Triều Xuống;Mũi Đèn Đỏ - Triều Xuống (QC - Mẫu lặp hiện trường);Mũi Đèn Đỏ - Triều Xuống (QC - Mẫu trắng hiện trường);Mũi Đèn Đỏ - Triều Xuống (QC - Mẫu trắng vận chuyển);Mũi Đèn Đỏ - Triều Xuống (QC - Mẫu trắng thiết bị)
Nhà Bè;Triều Xuống;HCM_NM_NB;HCM_NM_NB_X;Phà Bình Khánh, xã Nhà Bè (Thượng lưu ngã ba Đồng Nai Lòng Tàu 600 m).;Nhà Bè - HCM_NM_NB - Triều Xuống;Nhà Bè - Triều Xuống;Nhà Bè - Triều Xuống (QC - Mẫu lặp hiện trường);Nhà Bè - Triều Xuống (QC - Mẫu trắng hiện trường);Nhà Bè - Triều Xuống (QC - Mẫu trắng vận chuyển);Nhà Bè - Triều Xuống (QC - Mẫu trắng thiết bị)
Long Phước;Triều Lên;HCM_NM_LP;HCM_NM_LP_L;Cách hợp lưu Sông Tắc – Sông Sài Gòn 500m về phía hạ lưu.;Long Phước - HCM_NM_LP - Triều Lên;Long Phước - Triều Lên;Long Phước - Triều Lên (QC - Mẫu lặp hiện trường);Long Phước - Triều Lên (QC - Mẫu trắng hiện trường);Long Phước - Triều Lên (QC - Mẫu trắng vận chuyển);Long Phước - Triều Lên (QC - Mẫu trắng thiết bị)
Cát Lái;Triều Lên;HCM_NM_CL;HCM_NM_CL_L;Phà Cát Lái, Phường Thạnh Mỹ Lợi (Sông Đồng Nai trước hợp lưu với sông Sài Gòn).;Cát Lái - HCM_NM_CL - Triều Lên;Cát Lái - Triều Lên;Cát Lái - Triều Lên (QC - Mẫu lặp hiện trường);Cát Lái - Triều Lên (QC - Mẫu trắng hiện trường);Cát Lái - Triều Lên (QC - Mẫu trắng vận chuyển);Cát Lái - Triều Lên (QC - Mẫu trắng thiết bị)
Lòng Tàu;Triều Lên;HCM_NM_LT;HCM_NM_LT_L;Xã Cần Giờ - Cách đoạn phân nhánh sông Lòng Tàu – Đồng Tranh 1,39km.;Lòng Tàu - HCM_NM_LT - Triều Lên;Lòng Tàu - Triều Lên;Lòng Tàu - Triều Lên (QC - Mẫu lặp hiện trường);Lòng Tàu - Triều Lên (QC - Mẫu trắng hiện trường);Lòng Tàu - Triều Lên (QC - Mẫu trắng vận chuyển);Lòng Tàu - Triều Lên (QC - Mẫu trắng thiết bị)
Tam Thôn Hiệp;Triều Lên;HCM_NM_TTH;HCM_NM_TTH_L;Xã Cần Giờ - Thượng lưu ngã ba Tắc Rỗi 800m sông Lòng Tàu.;Tam Thôn Hiệp - HCM_NM_TTH - Triều Lên;Tam Thôn Hiệp - Triều Lên;Tam Thôn Hiệp - Triều Lên (QC - Mẫu lặp hiện trường);Tam Thôn Hiệp - Triều Lên (QC - Mẫu trắng hiện trường);Tam Thôn Hiệp - Triều Lên (QC - Mẫu trắng vận chuyển);Tam Thôn Hiệp - Triều Lên (QC - Mẫu trắng thiết bị)
Đồng Tranh 1;Triều Lên;HCM_NM_ĐT1;HCM_NM_ĐT1_L;Xã Cần Giờ - Cách đoạn phân nhánh sông Đồng Tranh thành 3 nhánh nhỏ 1km.;Đồng Tranh 1 - HCM_NM_ĐT1 - Triều Lên;Đồng Tranh 1 - Triều Lên;Đồng Tranh 1 - Triều Lên (QC - Mẫu lặp hiện trường);Đồng Tranh 1 - Triều Lên (QC - Mẫu trắng hiện trường);Đồng Tranh 1 - Triều Lên (QC - Mẫu trắng vận chuyển);Đồng Tranh 1 - Triều Lên (QC - Mẫu trắng thiết bị)
Long Phước;Triều Xuống;HCM_NM_LP;HCM_NM_LP_X;Cách hợp lưu Sông Tắc – Sông Sài Gòn 500m về phía hạ lưu.;Long Phước - HCM_NM_LP - Triều Xuống;Long Phước - Triều Xuống;Long Phước - Triều Xuống (QC - Mẫu lặp hiện trường);Long Phước - Triều Xuống (QC - Mẫu trắng hiện trường);Long Phước - Triều Xuống (QC - Mẫu trắng vận chuyển);Long Phước - Triều Xuống (QC - Mẫu trắng thiết bị)
Cát Lái;Triều Xuống;HCM_NM_CL;HCM_NM_CL_X;Phà Cát Lái, Phường Thạnh Mỹ Lợi (Sông Đồng Nai trước hợp lưu với sông Sài Gòn).;Cát Lái - HCM_NM_CL - Triều Xuống;Cát Lái - Triều Xuống;Cát Lái - Triều Xuống (QC - Mẫu lặp hiện trường);Cát Lái - Triều Xuống (QC - Mẫu trắng hiện trường);Cát Lái - Triều Xuống (QC - Mẫu trắng vận chuyển);Cát Lái - Triều Xuống (QC - Mẫu trắng thiết bị)
Lòng Tàu;Triều Xuống;HCM_NM_LT;HCM_NM_LT_X;Xã Cần Giờ - Cách đoạn phân nhánh sông Lòng Tàu – Đồng Tranh 1,39km.;Lòng Tàu - HCM_NM_LT - Triều Xuống;Lòng Tàu - Triều Xuống;Lòng Tàu - Triều Xuống (QC - Mẫu lặp hiện trường);Lòng Tàu - Triều Xuống (QC - Mẫu trắng hiện trường);Lòng Tàu - Triều Xuống (QC - Mẫu trắng vận chuyển);Lòng Tàu - Triều Xuống (QC - Mẫu trắng thiết bị)
Tam Thôn Hiệp;Triều Xuống;HCM_NM_TTH;HCM_NM_TTH_X;Xã Cần Giờ - Thượng lưu ngã ba Tắc Rỗi 800m sông Lòng Tàu.;Tam Thôn Hiệp - HCM_NM_TTH - Triều Xuống;Tam Thôn Hiệp - Triều Xuống;Tam Thôn Hiệp - Triều Xuống (QC - Mẫu lặp hiện trường);Tam Thôn Hiệp - Triều Xuống (QC - Mẫu trắng hiện trường);Tam Thôn Hiệp - Triều Xuống (QC - Mẫu trắng vận chuyển);Tam Thôn Hiệp - Triều Xuống (QC - Mẫu trắng thiết bị)
Đồng Tranh 1;Triều Xuống;HCM_NM_ĐT1;HCM_NM_ĐT1_X;Xã Cần Giờ - Cách đoạn phân nhánh sông Đồng Tranh thành 3 nhánh nhỏ 1km.;Đồng Tranh 1 - HCM_NM_ĐT1 - Triều Xuống;Đồng Tranh 1 - Triều Xuống;Đồng Tranh 1 - Triều Xuống (QC - Mẫu lặp hiện trường);Đồng Tranh 1 - Triều Xuống (QC - Mẫu trắng hiện trường);Đồng Tranh 1 - Triều Xuống (QC - Mẫu trắng vận chuyển);Đồng Tranh 1 - Triều Xuống (QC - Mẫu trắng thiết bị)
Lòng Tàu 1;Triều Lên;HCM_NM_LT1;HCM_NM_LT1_L;Xã Cần Giờ -Sau hợp lưu sông Lòng Tàu, sông Đồng Tranh, sông Dừa 2 km.;Lòng Tàu 1 - HCM_NM_LT1 - Triều Lên;Lòng Tàu 1 - Triều Lên;Lòng Tàu 1 - Triều Lên (QC - Mẫu lặp hiện trường);Lòng Tàu 1 - Triều Lên (QC - Mẫu trắng hiện trường);Lòng Tàu 1 - Triều Lên (QC - Mẫu trắng vận chuyển);Lòng Tàu 1 - Triều Lên (QC - Mẫu trắng thiết bị)
Ngã Bảy;Triều Lên;HCM_NM_N7;HCM_NM_N7_L;Xã Cần Giờ - Gần cửa sông Lòng Tàu 2 km.;Ngã Bảy - HCM_NM_N7 - Triều Lên;Ngã Bảy - Triều Lên;Ngã Bảy - Triều Lên (QC - Mẫu lặp hiện trường);Ngã Bảy - Triều Lên (QC - Mẫu trắng hiện trường);Ngã Bảy - Triều Lên (QC - Mẫu trắng vận chuyển);Ngã Bảy - Triều Lên (QC - Mẫu trắng thiết bị)
Vàm Sát;Triều Lên;HCM_NM_VS;HCM_NM_VS_L;Xã Cần Giờ - Hạ lưu cửa sông Vàm Sát 150m sông Đồng Nai.;Vàm Sát - HCM_NM_VS - Triều Lên;Vàm Sát - Triều Lên;Vàm Sát - Triều Lên (QC - Mẫu lặp hiện trường);Vàm Sát - Triều Lên (QC - Mẫu trắng hiện trường);Vàm Sát - Triều Lên (QC - Mẫu trắng vận chuyển);Vàm Sát - Triều Lên (QC - Mẫu trắng thiết bị)
Đồng Tranh;Triều Lên;HCM_NM_ĐT;HCM_NM_ĐT_L;Xã Cần Giờ - Gần cửa sông Đồng Tranh 2 km.;Đồng Tranh - HCM_NM_ĐT - Triều Lên;Đồng Tranh - Triều Lên;Đồng Tranh - Triều Lên (QC - Mẫu lặp hiện trường);Đồng Tranh - Triều Lên (QC - Mẫu trắng hiện trường);Đồng Tranh - Triều Lên (QC - Mẫu trắng vận chuyển);Đồng Tranh - Triều Lên (QC - Mẫu trắng thiết bị)
Lòng Tàu 1;Triều Xuống;HCM_NM_LT1;HCM_NM_LT1_X;Xã Cần Giờ -Sau hợp lưu sông Lòng Tàu, sông Đồng Tranh, sông Dừa 2 km.;Lòng Tàu 1 - HCM_NM_LT1 - Triều Xuống;Lòng Tàu 1 - Triều Xuống;Lòng Tàu 1 - Triều Xuống (QC - Mẫu lặp hiện trường);Lòng Tàu 1 - Triều Xuống (QC - Mẫu trắng hiện trường);Lòng Tàu 1 - Triều Xuống (QC - Mẫu trắng vận chuyển);Lòng Tàu 1 - Triều Xuống (QC - Mẫu trắng thiết bị)
Ngã Bảy;Triều Xuống;HCM_NM_N7;HCM_NM_N7_X;Xã Cần Giờ - Gần cửa sông Lòng Tàu 2 km.;Ngã Bảy - HCM_NM_N7 - Triều Xuống;Ngã Bảy - Triều Xuống;Ngã Bảy - Triều Xuống (QC - Mẫu lặp hiện trường);Ngã Bảy - Triều Xuống (QC - Mẫu trắng hiện trường);Ngã Bảy - Triều Xuống (QC - Mẫu trắng vận chuyển);Ngã Bảy - Triều Xuống (QC - Mẫu trắng thiết bị)
Vàm Sát;Triều Xuống;HCM_NM_VS;HCM_NM_VS_X;Xã Cần Giờ - Hạ lưu cửa sông Vàm Sát 150m sông Đồng Nai.;Vàm Sát - HCM_NM_VS - Triều Xuống;Vàm Sát - Triều Xuống;Vàm Sát - Triều Xuống (QC - Mẫu lặp hiện trường);Vàm Sát - Triều Xuống (QC - Mẫu trắng hiện trường);Vàm Sát - Triều Xuống (QC - Mẫu trắng vận chuyển);Vàm Sát - Triều Xuống (QC - Mẫu trắng thiết bị)
Đồng Tranh;Triều Xuống;HCM_NM_ĐT;HCM_NM_ĐT_X;Xã Cần Giờ - Gần cửa sông Đồng Tranh 2 km.;Đồng Tranh - HCM_NM_ĐT - Triều Xuống;Đồng Tranh - Triều Xuống;Đồng Tranh - Triều Xuống (QC - Mẫu lặp hiện trường);Đồng Tranh - Triều Xuống (QC - Mẫu trắng hiện trường);Đồng Tranh - Triều Xuống (QC - Mẫu trắng vận chuyển);Đồng Tranh - Triều Xuống (QC - Mẫu trắng thiết bị)
